GEO_ID,NAME,S2503_C01_014E
48001,"Anderson County, Texas",1459
48003,"Andrews County, Texas",495
48005,"Angelina County, Texas",3129
48007,"Aransas County, Texas",1422
48009,"Archer County, Texas",185
48011,"Armstrong County, Texas",102
48013,"Atascosa County, Texas",1742
48015,"Austin County, Texas",633
48017,"Bailey County, Texas",167
48019,"Bandera County, Texas",1287
48021,"Bastrop County, Texas",1736
48023,"Baylor County, Texas",305
48025,"Bee County, Texas",1570
48027,"Bell County, Texas",4740
48029,"Bexar County, Texas",33553
48031,"Blanco County, Texas",420
48033,"Borden County, Texas",34
48035,"Bosque County, Texas",694
48037,"Bowie County, Texas",3107
48039,"Brazoria County, Texas",6115
48041,"Brazos County, Texas",2519
48043,"Brewster County, Texas",436
48045,"Briscoe County, Texas",93
48047,"Brooks County, Texas",611
48049,"Brown County, Texas",1331
48051,"Burleson County, Texas",975
48053,"Burnet County, Texas",1369
48055,"Caldwell County, Texas",868
48057,"Calhoun County, Texas",1019
48059,"Callahan County, Texas",864
48061,"Cameron County, Texas",17503
48063,"Camp County, Texas",580
48065,"Carson County, Texas",262
48067,"Cass County, Texas",2146
48069,"Castro County, Texas",353
48071,"Chambers County, Texas",842
48073,"Cherokee County, Texas",2001
48075,"Childress County, Texas",210
48077,"Clay County, Texas",427
48079,"Cochran County, Texas",241
48081,"Coke County, Texas",308
48083,"Coleman County, Texas",320
48085,"Collin County, Texas",3007
48087,"Collingsworth County, Texas",293
48089,"Colorado County, Texas",1040
48091,"Comal County, Texas",2649
48093,"Comanche County, Texas",671
48095,"Concho County, Texas",116
48097,"Cooke County, Texas",915
48099,"Coryell County, Texas",1297
48101,"Cottle County, Texas",155
48103,"Crane County, Texas",298
48105,"Crockett County, Texas",176
48107,"Crosby County, Texas",308
48109,"Culberson County, Texas",216
48111,"Dallam County, Texas",172
48113,"Dallas County, Texas",24701
48115,"Dawson County, Texas",591
48117,"Deaf Smith County, Texas",1210
48119,"Delta County, Texas",220
48121,"Denton County, Texas",3343
48123,"DeWitt County, Texas",949
48125,"Dickens County, Texas",138
