stname, st,National Forest Cover (acres),state area (acres),STUSPSJOIN,area (sq. mi),
Alabama,1,670326,33550720,AL,52423,640
Alaska,2,22167455,420112000,AK,656425,
Arizona,4,11882180,72963840,AZ,114006,
Arkansas,5,2938842,34036480,AR,53182,
California,6,20245278,104772480,CA,163707,
Colorado,8,12118448,66624000,CO,104100,
Connecticut,9,0,3548160,CT,5544,
Delaware,10,0,1250560,DE,1954,
District of Columbia,11,0,43520,DC,68,
Florida,12,1121004,42085120,FL,65758,
Georgia,13,866782,38042240,GA,59441,
Hawaii,15,0,6996480,HI,10932,
Idaho,16,20607856,53487360,ID,83574,
Illinois,17,273482,37067520,IL,57918,
Indiana,18,203627,23308800,IN,36420,
Iowa,19,0,36016640,IA,56276,
Kansas,20,0,52660480,KS,82282,
Kentucky,21,678335,25863040,KY,40411,
Louisiana,22,607540,33179520,LA,51843,
Maine,23,0,22647680,ME,35387,
Maryland,24,0,7940480,MD,12407,
Massachusetts,25,0,6755200,ME,10555,
Michigan,26,2864566,61958400,MI,96810,
Minnesota,27,2765542,55643520,MN,86943,
Mississippi,28,1190408,30997760,MS,48434,
Missouri,29,1504881,44613760,MO,69709,
Montana,30,16913508,94109440,MT,147046,
Nebraska,31,256660,49509120,NE,77358,
Nevada,32,6290945,70762880,NV,110567,
New Hampshire,33,761687,5984640,NH,9351,
New Jersey,34,0,5582080,NJ,8722,
New Mexico,35,8401346,77819520,NM,121593,
New York,36,16352,34864000,NY,54475,
North Carolina,37,1254126,34445440,NC,53821,
North Dakota,38,0,45250560,ND,70704,
Ohio,39,243180,28689920,OH,44828,
Oklahoma,40,0,44737920,OK,69903,
Oregon,41,15603958,62967040,OR,98386,
Pennsylvania,42,513655,29477120,PA,46058,
Rhode Island,44,0,988800,RI,1545,
South Carolina,45,631451,20484480,SC,32007,
South Dakota,46,1000693,49357440,SD,77121,
Tennessee,47,656394,26973440,TN,42146,
Texas,48,639632,171904640,TX,268601,
Utah,49,8479436,54338560,UT,84904,
Vermont,50,408419,6153600,VT,9615,
Virginia,51,1792209,27372160,VA,42769,
Washington,53,9717277,45633920,WA,71303,
West Virginia,54,920583,15507840,WV,24231,
Wisconsin,55,1523704,41921920,WI,65503,
Wyoming,56,6927706,62603520,WY,97818,
